Record#,PIT Tag,SRR Verbose,Event Type,Conditional Comments,Length,Weight,Text Comments,Event Date (PST),Event Site,Brood Year,Migration Year,Release Site,Release Date (PST),Organization,Hatchery,Additional Positional,Tally Count,SRR Code
1,384.1B7972C35A,Wild Summer Steelhead,Mark,,68,2.8,,3/12/2017 7:35,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:35,NPT,,,1,32W
2,3DD.00774F4B72,Wild Summer Chinook,Mark,,87,6.5,,3/12/2017 7:40,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:40,NPT,,,1,12W
3,3DD.0077573E46,Wild Summer Chinook,Mark,,82,5.2,,3/12/2017 7:41,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:41,NPT,,,1,12W
4,3DD.00774F9AFB,Wild Summer Chinook,Mark,,79,4.8,,3/12/2017 7:41,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:41,NPT,,,1,12W
5,3DD.007756F940,Wild Summer Chinook,Mark,,87,6.1,,3/12/2017 7:41,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:41,NPT,,,1,12W
6,3DD.007756E13F,Wild Summer Chinook,Mark,,74,3.9,,3/12/2017 7:41,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:41,NPT,,,1,12W
7,3DD.0077573B7E,Wild Summer Chinook,Mark,,83,5.4,,3/12/2017 7:42,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:42,NPT,,,1,12W
8,3DD.007756D3BC,Wild Summer Chinook,Mark,,86,5.9,,3/12/2017 7:42,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:42,NPT,,,1,12W
9,3DD.007756FB11,Wild Summer Chinook,Mark,,88,6.2,,3/12/2017 7:42,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:42,NPT,,,1,12W
10,3DD.007756DAB2,Wild Summer Chinook,Mark,,86,6.1,,3/12/2017 7:42,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:42,NPT,,,1,12W
11,3DD.0077573C5D,Wild Summer Chinook,Mark,,82,5.1,,3/12/2017 7:43,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:43,NPT,,,1,12W
12,3DD.00774ECD46,Wild Summer Chinook,Mark,,85,5.6,,3/12/2017 7:43,JOHTRP,2015,2017,JOHTRP,3/12/2017 7:43,NPT,,,1,12W
1,3DD.00774EB0E7,Wild Summer Chinook,Recapture,RE,84,6.1,RC (CDR17069.SCT),3/12/2017 6:29,SECTRP,2015,2017,SECTRP,3/12/2017 6:29,NPT,,,1,12W
2,3DD.00774F810A,Wild Summer Steelhead,Mark,,165,39.8,,3/12/2017 6:30,SECTRP,2015,2017,SECTRP,3/12/2017 6:30,NPT,,,1,32W
3,3DD.007756ED03,Wild Summer Steelhead,Mark,,177,51.7,,3/12/2017 6:30,SECTRP,2015,2017,SECTRP,3/12/2017 6:30,NPT,,,1,32W
4,3DD.00775722BB,Wild Summer Chinook,Mark,,96,7.8,,3/12/2017 6:30,SECTRP,2015,2017,SECTRP,3/12/2017 6:30,NPT,,,1,12W
5,3DD.007756C8A5,Wild Summer Chinook,Mark,,89,7,,3/12/2017 6:29,SECTRP,2015,2017,SECTRP,3/12/2017 6:29,NPT,,,1,12W
6,3DD.0077574D90,Wild Summer Chinook,Mark,,91,7.5,,3/12/2017 6:29,SECTRP,2015,2017,SECTRP,3/12/2017 6:29,NPT,,,1,12W
7,3DD.00774F4C96,Wild Summer Chinook,Mark,,78,4.1,,3/12/2017 6:29,SECTRP,2015,2017,SECTRP,3/12/2017 6:29,NPT,,,1,12W
8,3DD.00774F644D,Wild Summer Chinook,Mark,,86,6.1,,3/12/2017 6:28,SECTRP,2015,2017,SECTRP,3/12/2017 6:28,NPT,,,1,12W
9,3DD.007756E2AD,Wild Summer Chinook,Mark,,77,4.5,,3/12/2017 6:28,SECTRP,2015,2017,SECTRP,3/12/2017 6:28,NPT,,,1,12W
